mol_idx,bit,IG_auc,IG_faith,grad_auc,grad_faith,grad*input_auc,grad*input_faith,smoothgrad_auc,smoothgrad_faith,occlusion_auc,occlusion_faith,random_auc,random_faith
6,659,0.0,0.051321721325318016,0.0,0.04114269216855367,0.0,0.04114269216855367,0.0,0.04114269216855367,0.8333333333333334,0.0599497656027476,0.5,0.031237204869588215
6,881,0.6666666666666666,0.09176288382150233,0.5,0.10674039111472666,0.6666666666666666,0.10674039111472666,0.33333333333333337,0.10674039111472666,0.6666666666666667,-0.11133856574694316,0.0,0.03238184687991937
6,283,0.16666666666666663,0.1873413249850273,0.0,0.26408408892651397,0.16666666666666663,0.18431732865671316,0.16666666666666663,0.26408408892651397,0.0,0.27070011124790955,0.5,0.2687661734720071
6,139,0.19999999999999996,0.005605796060990542,0.0,0.005605796060990542,0.0,0.005605796060990542,0.0,0.005605796060990542,0.19999999999999996,-0.028609359947343666,0.5,-0.011496199294924736
6,914,0.0,-0.010463076954086622,0.0,0.011459131181860963,0.0,-0.028069048499067623,0.0,0.011459131181860963,0.16666666666666663,-0.027516616508364677,1.0,-9.169367452462514e-05
7,80,0.875,0.5962730745474497,0.4375,0.09008344014485677,0.5833333333333334,0.13127827644348145,0.5208333333333334,0.10575666030248006,0.7916666666666666,0.6664395605524381,0.3333333333333333,0.020360271135965984
7,33,0.21666666666666665,0.8028084997398158,0.2833333333333333,0.17390835285186768,0.43333333333333335,0.3929351568222046,0.2833333333333333,0.17390835285186768,0.55,0.8057883770670742,0.65,0.4794583519299825
7,807,0.6470588235294117,-0.15636332829793295,1.0,0.515924721956253,0.9117647058823529,0.11883896589279175,0.9705882352941176,0.1847047209739685,0.9117647058823529,0.7597715806526443,1.0,0.5752379596233368
7,650,0.25,0.587301197151343,0.4583333333333333,0.936861093621701,0.375,0.6387598775327206,0.41666666666666663,0.9494053460657597,0.625,0.9361684239314249,0.4791666666666667,0.26326189438501996
7,893,0.41666666666666663,0.45338544945848486,0.625,0.4895527610512307,0.5416666666666666,0.486891712844536,0.3333333333333333,0.48657480344748666,0.6666666666666666,0.4895512573616922,0.35416666666666663,0.46864398052275646
7,1,0.8333333333333334,0.10811720207857434,0.2777777777777778,0.0943823851024111,0.5555555555555556,0.1046465349694093,0.38888888888888884,0.09353447022537391,1.0,0.12254874604695942,0.2777777777777778,0.09989299314717452
7,294,0.47058823529411764,0.1015679942005742,0.1470588235294118,-0.11847046762704849,0.4117647058823529,0.08198749548076496,0.05882352941176472,-0.11847046762704849,0.11764705882352944,-0.16608480488260588,0.7941176470588235,0.1007874757439519
7,695,0.38333333333333336,0.8847597995439477,0.5166666666666667,0.8159706530471643,0.35,0.861379157130917,0.5833333333333334,0.8157930560410023,0.5,0.8846080073884792,0.033333333333333326,0.34985439479351044
7,147,0.4375,0.2593098687257225,0.6666666666666666,0.2530209282510138,0.6041666666666666,0.25334723786606145,0.7291666666666666,0.24682575309998356,0.7291666666666666,0.26172323254771374,0.5,0.04949659171203772
7,794,0.4444444444444444,0.00189109312315483,0.8333333333333334,0.0018107704232761535,0.38888888888888884,0.0018910879130983698,0.8888888888888888,0.0018107704232761535,0.9444444444444444,-0.3546651419407378,0.05555555555555558,0.0010763568570837379
7,401,1.0,0.00015980156037779616,1.0,0.00011361060827160448,1.0,0.0001420006483764761,1.0,0.00011361060827160448,0.8888888888888888,-0.00033321067470826193,1.0,0.00014854632718197536
